event_a,event_b,correlation,mean_abs_delta_db
1658418658392_blow_close_event1_peak0.904s,1782608212532_failed_blow_event2_peak2.243s,0.037535,14.979012
1658418658392_blow_close_event1_peak0.904s,1782608212532_failed_blow_event3_peak3.127s,0.842294,14.223891
1658418658392_blow_close_event1_peak0.904s,1782608212532_failed_blow_event4_peak3.438s,0.293618,13.789217
1658418658392_blow_close_event1_peak0.904s,1782608212532_failed_blow_event5_peak4.624s,0.331219,13.610588
1658418658392_blow_close_event1_peak0.904s,1782608212532_failed_blow_event6_peak5.691s,0.512062,11.589113
1658418658392_blow_close_event1_peak0.904s,1782608212532_failed_blow_event7_peak7.187s,0.369982,13.201359
1658418658392_blow_close_event1_peak0.904s,1782608212532_failed_blow_event8_peak8.017s,0.638101,11.072314
1658418658392_blow_close_event1_peak0.904s,1782608683432_failed_blow_event1_peak0.850s,0.895550,11.824935
1658418658392_blow_close_event2_peak2.202s,1658418658392_blow_close_event3_peak3.530s,0.792010,7.916570
1658418658392_blow_close_event2_peak2.202s,1658418658392_blow_close_event4_peak4.943s,0.885807,6.204574
1658418658392_blow_close_event2_peak2.202s,1658418658392_blow_close_event5_peak6.390s,0.812875,8.730006
1658418658392_blow_close_event2_peak2.202s,1782608588636_blow_normal_event1_peak3.313s,0.828534,14.277991
1658418658392_blow_close_event2_peak2.202s,1782608588636_blow_normal_event2_peak4.431s,0.796119,11.802276
1658418658392_blow_close_event2_peak2.202s,1782608588636_blow_normal_event3_peak5.546s,0.822681,19.410947
1658418658392_blow_close_event2_peak2.202s,1782608596442_blow_normal_event1_peak1.342s,0.854583,15.595723
1658418658392_blow_close_event2_peak2.202s,1782608600090_blow_normal_event1_peak1.465s,0.857416,13.359409
1658418658392_blow_close_event2_peak2.202s,1782608602965_blow_normal_event1_peak1.012s,0.875440,9.226467
1658418658392_blow_close_event2_peak2.202s,1782608605517_blow_normal_event1_peak1.450s,0.850782,11.382291
1658418658392_blow_close_event2_peak2.202s,1782608608865_blow_normal_event1_peak1.042s,0.824917,12.832178
1658418658392_blow_close_event2_peak2.202s,1782608611657_blow_normal_event1_peak1.081s,0.797048,13.831726
1658418658392_blow_close_event2_peak2.202s,1782608614338_blow_normal_event1_peak0.897s,0.800876,12.413095
1658418658392_blow_close_event2_peak2.202s,1782608616573_blow_normal_event1_peak1.126s,0.831412,9.144975
1658418658392_blow_close_event2_peak2.202s,1782608618931_blow_normal_event1_peak0.969s,0.826517,16.997104
1658418658392_blow_close_event2_peak2.202s,1782608645573_blow_normal_event1_peak1.074s,0.818597,11.792837
1658418658392_blow_close_event2_peak2.202s,1782608649116_blow_normal_event1_peak0.873s,0.786963,8.937201
1658418658392_blow_close_event2_peak2.202s,1782608657180_blow_normal_event1_peak1.144s,0.801539,10.912632
1658418658392_blow_close_event2_peak2.202s,1782608662652_blow_normal_event1_peak1.139s,0.763116,12.861182
1658418658392_blow_close_event2_peak2.202s,1782608664944_blow_normal_event1_peak0.935s,0.737692,9.799256
1658418658392_blow_close_event2_peak2.202s,1782608667017_blow_normal_event1_peak1.003s,0.812180,10.478309
1658418658392_blow_close_event2_peak2.202s,1782608668892_blow_normal_event1_peak1.012s,0.850455,8.104226
1658418658392_blow_close_event2_peak2.202s,1782608670794_blow_normal_event1_peak0.934s,0.784206,10.357420
1658418658392_blow_close_event2_peak2.202s,1782608672740_blow_normal_event1_peak0.992s,0.733102,8.936649
1658418658392_blow_close_event2_peak2.202s,1782608677735_blow_normal_event1_peak0.843s,0.810546,16.853782
1658418658392_blow_close_event2_peak2.202s,1782608679544_blow_normal_event1_peak0.746s,0.861490,9.192506
1658418658392_blow_close_event2_peak2.202s,1782605965032_blow_close_event1_peak0.117s,0.179596,18.195449
1658418658392_blow_close_event2_peak2.202s,1782605965032_blow_close_event2_peak1.201s,0.815551,8.922739
1658418658392_blow_close_event2_peak2.202s,1782605965032_blow_close_event3_peak2.431s,0.823683,8.799145
1658418658392_blow_close_event2_peak2.202s,1782606063167_failed_blow_event1_peak5.756s,0.803759,9.765570
1658418658392_blow_close_event2_peak2.202s,1658418647612_blow_normal_event1_peak0.402s,0.842860,7.978002
1658418658392_blow_close_event2_peak2.202s,1658418647612_blow_normal_event2_peak2.207s,0.865122,6.390764
1658418658392_blow_close_event2_peak2.202s,1658418647612_blow_normal_event3_peak3.536s,0.814308,9.714107
1658418658392_blow_close_event2_peak2.202s,1658418647612_blow_normal_event4_peak4.765s,0.888874,5.847385
1658418658392_blow_close_event2_peak2.202s,1658418647612_blow_normal_event5_peak7.402s,0.847876,9.029929
1658418658392_blow_close_event2_peak2.202s,1782608426130_failed_blow_event1_peak0.018s,0.830467,7.301303
1658418658392_blow_close_event2_peak2.202s,1782608426130_failed_blow_event2_peak1.056s,0.694635,12.517065
1658418658392_blow_close_event2_peak2.202s,1782608432269_failed_blow_event1_peak0.799s,0.420679,13.447426
1658418658392_blow_close_event2_peak2.202s,1782608432269_failed_blow_event2_peak1.919s,0.492321,14.372725
1658418658392_blow_close_event2_peak2.202s,1782608432269_failed_blow_event3_peak2.872s,0.220614,14.502019
1658418658392_blow_close_event2_peak2.202s,1782608436951_failed_blow_event1_peak1.043s,0.256789,16.009334
1658418658392_blow_close_event2_peak2.202s,1782608436951_failed_blow_event2_peak1.703s,0.113647,14.564389
1658418658392_blow_close_event2_peak2.202s,1782608436951_failed_blow_event3_peak2.458s,0.861134,13.273648
1658418658392_blow_close_event2_peak2.202s,1782608436951_failed_blow_event4_peak3.693s,0.614922,12.806181
1658418658392_blow_close_event2_peak2.202s,1782608441920_failed_blow_event1_peak10.579s,0.516064,27.867173
1658418658392_blow_close_event2_peak2.202s,1782608453936_failed_blow_event1_peak2.174s,0.158305,26.600521
1658418658392_blow_close_event2_peak2.202s,1782608453936_failed_blow_event2_peak4.632s,0.791857,9.028136
1658418658392_blow_close_event2_peak2.202s,1782608460487_failed_blow_event1_peak3.184s,0.399305,14.854863
1658418658392_blow_close_event2_peak2.202s,1782608460487_failed_blow_event2_peak5.372s,0.420925,12.617666
1658418658392_blow_close_event2_peak2.202s,1782608460487_failed_blow_event3_peak7.802s,0.552712,19.001702
1658418658392_blow_close_event2_peak2.202s,1782608469432_failed_blow_event1_peak1.335s,0.494271,11.516041
1658418658392_blow_close_event2_peak2.202s,1782608469432_failed_blow_event2_peak3.676s,0.218054,16.803837
1658418658392_blow_close_event2_peak2.202s,1782608469432_failed_blow_event3_peak6.212s,-0.567788,18.079190
1658418658392_blow_close_event2_peak2.202s,1782608469432_failed_blow_event4_peak8.373s,-0.147149,14.865836
1658418658392_blow_close_event2_peak2.202s,1782608469432_failed_blow_event5_peak9.854s,-0.478067,16.699955
1658418658392_blow_close_event2_peak2.202s,1782608469432_failed_blow_event6_peak11.059s,-0.088492,14.096422
1658418658392_blow_close_event2_peak2.202s,1782608144876_failed_blow_event1_peak1.226s,0.542832,10.510140
1658418658392_blow_close_event2_peak2.202s,1782608147589_failed_blow_event1_peak1.373s,0.198321,14.172589
1658418658392_blow_close_event2_peak2.202s,1782608150662_failed_blow_event1_peak1.433s,0.542699,14.532969
1658418658392_blow_close_event2_peak2.202s,1782608150662_failed_blow_event2_peak2.805s,0.647680,10.597718
1658418658392_blow_close_event2_peak2.202s,1782608150662_failed_blow_event3_peak4.547s,0.436233,12.684770
1658418658392_blow_close_event2_peak2.202s,1782608150662_failed_blow_event4_peak7.191s,-0.714753,23.102113
1658418658392_blow_close_event2_peak2.202s,1782608160173_failed_blow_event1_peak1.211s,-0.311295,18.383614
1658418658392_blow_close_event2_peak2.202s,1782608163117_failed_blow_event1_peak2.418s,-0.416853,18.181248
1658418658392_blow_close_event2_peak2.202s,1782608163117_failed_blow_event2_peak3.891s,-0.655718,18.468129
1658418658392_blow_close_event2_peak2.202s,1782608163117_failed_blow_event3_peak5.526s,0.083136,17.451778
1658418658392_blow_close_event2_peak2.202s,1782608178054_failed_blow_event1_peak4.359s,0.072806,19.586698
1658418658392_blow_close_event2_peak2.202s,1782608178054_failed_blow_event2_peak5.668s,-0.193414,18.329191
1658418658392_blow_close_event2_peak2.202s,1782608187004_failed_blow_event1_peak1.100s,0.166203,15.564842
1658418658392_blow_close_event2_peak2.202s,1782608187004_failed_blow_event2_peak1.558s,0.365377,13.337799
1658418658392_blow_close_event2_peak2.202s,1782608187004_failed_blow_event3_peak2.068s,-0.011241,17.414840
1658418658392_blow_close_event2_peak2.202s,1782608187004_failed_blow_event4_peak2.942s,0.168930,16.746224
1658418658392_blow_close_event2_peak2.202s,1782608191941_failed_blow_event1_peak9.470s,0.792203,14.834267
1658418658392_blow_close_event2_peak2.202s,1782608203595_failed_blow_event1_peak0.995s,-0.686129,20.209883
1658418658392_blow_close_event2_peak2.202s,1782608212532_failed_blow_event1_peak0.879s,0.027009,16.071185
1658418658392_blow_close_event2_peak2.202s,1782608212532_failed_blow_event2_peak2.243s,-0.045191,15.915123
1658418658392_blow_close_event2_peak2.202s,1782608212532_failed_blow_event3_peak3.127s,0.748654,14.933084
1658418658392_blow_close_event2_peak2.202s,1782608212532_failed_blow_event4_peak3.438s,0.299859,13.380529
1658418658392_blow_close_event2_peak2.202s,1782608212532_failed_blow_event5_peak4.624s,0.379134,13.164023
1658418658392_blow_close_event2_peak2.202s,1782608212532_failed_blow_event6_peak5.691s,0.440228,12.449842
1658418658392_blow_close_event2_peak2.202s,1782608212532_failed_blow_event7_peak7.187s,0.323796,13.479584
1658418658392_blow_close_event2_peak2.202s,1782608212532_failed_blow_event8_peak8.017s,0.612983,11.234599
1658418658392_blow_close_event2_peak2.202s,1782608683432_failed_blow_event1_peak0.850s,0.807539,13.351353
1658418658392_blow_close_event3_peak3.530s,1658418658392_blow_close_event4_peak4.943s,0.859354,5.645906
1658418658392_blow_close_event3_peak3.530s,1658418658392_blow_close_event5_peak6.390s,0.741564,11.727451
1658418658392_blow_close_event3_peak3.530s,1782608588636_blow_normal_event1_peak3.313s,0.781521,17.165495
1658418658392_blow_close_event3_peak3.530s,1782608588636_blow_normal_event2_peak4.431s,0.767709,15.050637
1658418658392_blow_close_event3_peak3.530s,1782608588636_blow_normal_event3_peak5.546s,0.793330,23.128742
1658418658392_blow_close_event3_peak3.530s,1782608596442_blow_normal_event1_peak1.342s,0.796769,19.169102
1658418658392_blow_close_event3_peak3.530s,1782608600090_blow_normal_event1_peak1.465s,0.830204,14.652846
1658418658392_blow_close_event3_peak3.530s,1782608602965_blow_normal_event1_peak1.012s,0.820453,11.561970
1658418658392_blow_close_event3_peak3.530s,1782608605517_blow_normal_event1_peak1.450s,0.777136,13.961343
1658418658392_blow_close_event3_peak3.530s,1782608608865_blow_normal_event1_peak1.042s,0.808436,14.729094
1658418658392_blow_close_event3_peak3.530s,1782608611657_blow_normal_event1_peak1.081s,0.761213,17.313184
1658418658392_blow_close_event3_peak3.530s,1782608614338_blow_normal_event1_peak0.897s,0.719545,16.529474
1658418658392_blow_close_event3_peak3.530s,1782608616573_blow_normal_event1_peak1.126s,0.714164,13.431584
1658418658392_blow_close_event3_peak3.530s,1782608618931_blow_normal_event1_peak0.969s,0.756216,20.605910
1658418658392_blow_close_event3_peak3.530s,1782608645573_blow_normal_event1_peak1.074s,0.749931,14.050303
1658418658392_blow_close_event3_peak3.530s,1782608649116_blow_normal_event1_peak0.873s,0.637008,11.508419
1658418658392_blow_close_event3_peak3.530s,1782608657180_blow_normal_event1_peak1.144s,0.713923,13.634857
1658418658392_blow_close_event3_peak3.530s,1782608662652_blow_normal_event1_peak1.139s,0.745030,13.826155
1658418658392_blow_close_event3_peak3.530s,1782608664944_blow_normal_event1_peak0.935s,0.737583,10.942989
1658418658392_blow_close_event3_peak3.530s,1782608667017_blow_normal_event1_peak1.003s,0.750399,13.312646
1658418658392_blow_close_event3_peak3.530s,1782608668892_blow_normal_event1_peak1.012s,0.726735,10.605390
1658418658392_blow_close_event3_peak3.530s,1782608670794_blow_normal_event1_peak0.934s,0.771691,11.534904
1658418658392_blow_close_event3_peak3.530s,1782608672740_blow_normal_event1_peak0.992s,0.635646,9.761429
1658418658392_blow_close_event3_peak3.530s,1782608677735_blow_normal_event1_peak0.843s,0.750396,20.299857
1658418658392_blow_close_event3_peak3.530s,1782608679544_blow_normal_event1_peak0.746s,0.795326,11.402473
1658418658392_blow_close_event3_peak3.530s,1782605965032_blow_close_event1_peak0.117s,0.176848,14.748013
1658418658392_blow_close_event3_peak3.530s,1782605965032_blow_close_event2_peak1.201s,0.711207,10.304672
1658418658392_blow_close_event3_peak3.530s,1782605965032_blow_close_event3_peak2.431s,0.683626,12.621691
1658418658392_blow_close_event3_peak3.530s,1782606063167_failed_blow_event1_peak5.756s,0.791478,10.176937
1658418658392_blow_close_event3_peak3.530s,1658418647612_blow_normal_event1_peak0.402s,0.672678,12.015723
1658418658392_blow_close_event3_peak3.530s,1658418647612_blow_normal_event2_peak2.207s,0.704859,10.786584
1658418658392_blow_close_event3_peak3.530s,1658418647612_blow_normal_event3_peak3.536s,0.709040,13.088183
1658418658392_blow_close_event3_peak3.530s,1658418647612_blow_normal_event4_peak4.765s,0.773393,7.842278
1658418658392_blow_close_event3_peak3.530s,1658418647612_blow_normal_event5_peak7.402s,0.752039,12.617980
1658418658392_blow_close_event3_peak3.530s,1782608426130_failed_blow_event1_peak0.018s,0.757567,6.989608
1658418658392_blow_close_event3_peak3.530s,1782608426130_failed_blow_event2_peak1.056s,0.670451,14.278309
1658418658392_blow_close_event3_peak3.530s,1782608432269_failed_blow_event1_peak0.799s,0.382692,11.282489
1658418658392_blow_close_event3_peak3.530s,1782608432269_failed_blow_event2_peak1.919s,0.619218,10.980376
1658418658392_blow_close_event3_peak3.530s,1782608432269_failed_blow_event3_peak2.872s,0.338667,11.146740
1658418658392_blow_close_event3_peak3.530s,1782608436951_failed_blow_event1_peak1.043s,0.387311,12.600309
1658418658392_blow_close_event3_peak3.530s,1782608436951_failed_blow_event2_peak1.703s,0.118032,11.974262
1658418658392_blow_close_event3_peak3.530s,1782608436951_failed_blow_event3_peak2.458s,0.805802,15.858968
1658418658392_blow_close_event3_peak3.530s,1782608436951_failed_blow_event4_peak3.693s,0.513653,10.512974
1658418658392_blow_close_event3_peak3.530s,1782608441920_failed_blow_event1_peak10.579s,0.576703,29.200553
1658418658392_blow_close_event3_peak3.530s,1782608453936_failed_blow_event1_peak2.174s,0.262717,27.765136
1658418658392_blow_close_event3_peak3.530s,1782608453936_failed_blow_event2_peak4.632s,0.818641,6.955721
1658418658392_blow_close_event3_peak3.530s,1782608460487_failed_blow_event1_peak3.184s,0.470476,14.334360
1658418658392_blow_close_event3_peak3.530s,1782608460487_failed_blow_event2_peak5.372s,0.427093,10.928097
1658418658392_blow_close_event3_peak3.530s,1782608460487_failed_blow_event3_peak7.802s,0.655619,18.759592
1658418658392_blow_close_event3_peak3.530s,1782608469432_failed_blow_event1_peak1.335s,0.614467,9.548300
1658418658392_blow_close_event3_peak3.530s,1782608469432_failed_blow_event2_peak3.676s,0.280975,17.630093
1658418658392_blow_close_event3_peak3.530s,1782608469432_failed_blow_event3_peak6.212s,-0.487797,16.633573
1658418658392_blow_close_event3_peak3.530s,1782608469432_failed_blow_event4_peak8.373s,-0.138517,12.655027
1658418658392_blow_close_event3_peak3.530s,1782608469432_failed_blow_event5_peak9.854s,-0.458068,14.776030
1658418658392_blow_close_event3_peak3.530s,1782608469432_failed_blow_event6_peak11.059s,-0.241154,13.910078
1658418658392_blow_close_event3_peak3.530s,1782608144876_failed_blow_event1_peak1.226s,0.489291,10.064946
1658418658392_blow_close_event3_peak3.530s,1782608147589_failed_blow_event1_peak1.373s,0.270215,13.488572
1658418658392_blow_close_event3_peak3.530s,1782608150662_failed_blow_event1_peak1.433s,0.482964,15.247679
1658418658392_blow_close_event3_peak3.530s,1782608150662_failed_blow_event2_peak2.805s,0.687095,9.602361
1658418658392_blow_close_event3_peak3.530s,1782608150662_failed_blow_event3_peak4.547s,0.415457,12.680238
1658418658392_blow_close_event3_peak3.530s,1782608150662_failed_blow_event4_peak7.191s,-0.674357,21.318227
1658418658392_blow_close_event3_peak3.530s,1782608160173_failed_blow_event1_peak1.211s,-0.335883,15.296962
1658418658392_blow_close_event3_peak3.530s,1782608163117_failed_blow_event1_peak2.418s,-0.290959,16.058556
1658418658392_blow_close_event3_peak3.530s,1782608163117_failed_blow_event2_peak3.891s,-0.488691,14.674467
1658418658392_blow_close_event3_peak3.530s,1782608163117_failed_blow_event3_peak5.526s,0.150530,13.933686
1658418658392_blow_close_event3_peak3.530s,1782608178054_failed_blow_event1_peak4.359s,0.079754,16.400250
1658418658392_blow_close_event3_peak3.530s,1782608178054_failed_blow_event2_peak5.668s,-0.067919,15.311520
1658418658392_blow_close_event3_peak3.530s,1782608187004_failed_blow_event1_peak1.100s,0.083333,13.082966
1658418658392_blow_close_event3_peak3.530s,1782608187004_failed_blow_event2_peak1.558s,0.326776,11.443582
1658418658392_blow_close_event3_peak3.530s,1782608187004_failed_blow_event3_peak2.068s,0.135046,14.199021
1658418658392_blow_close_event3_peak3.530s,1782608187004_failed_blow_event4_peak2.942s,0.247413,13.124641
1658418658392_blow_close_event3_peak3.530s,1782608191941_failed_blow_event1_peak9.470s,0.751047,11.797160
1658418658392_blow_close_event3_peak3.530s,1782608203595_failed_blow_event1_peak0.995s,-0.671883,17.320235
1658418658392_blow_close_event3_peak3.530s,1782608212532_failed_blow_event1_peak0.879s,0.032795,15.715385
1658418658392_blow_close_event3_peak3.530s,1782608212532_failed_blow_event2_peak2.243s,-0.017261,15.197878
1658418658392_blow_close_event3_peak3.530s,1782608212532_failed_blow_event3_peak3.127s,0.683240,17.871401
1658418658392_blow_close_event3_peak3.530s,1782608212532_failed_blow_event4_peak3.438s,0.318537,11.422666
1658418658392_blow_close_event3_peak3.530s,1782608212532_failed_blow_event5_peak4.624s,0.441994,10.211513
1658418658392_blow_close_event3_peak3.530s,1782608212532_failed_blow_event6_peak5.691s,0.369631,13.667203
1658418658392_blow_close_event3_peak3.530s,1782608212532_failed_blow_event7_peak7.187s,0.382822,12.503842
1658418658392_blow_close_event3_peak3.530s,1782608212532_failed_blow_event8_peak8.017s,0.592934,11.608114
1658418658392_blow_close_event3_peak3.530s,1782608683432_failed_blow_event1_peak0.850s,0.774729,16.243721
1658418658392_blow_close_event4_peak4.943s,1658418658392_blow_close_event5_peak6.390s,0.832083,10.697519
1658418658392_blow_close_event4_peak4.943s,1782608588636_blow_normal_event1_peak3.313s,0.881149,15.373951
1658418658392_blow_close_event4_peak4.943s,1782608588636_blow_normal_event2_peak4.431s,0.867832,12.242480
1658418658392_blow_close_event4_peak4.943s,1782608588636_blow_normal_event3_peak5.546s,0.883996,21.563181
1658418658392_blow_close_event4_peak4.943s,1782608596442_blow_normal_event1_peak1.342s,0.909119,17.067551
1658418658392_blow_close_event4_peak4.943s,1782608600090_blow_normal_event1_peak1.465s,0.921976,12.107534
1658418658392_blow_close_event4_peak4.943s,1782608602965_blow_normal_event1_peak1.012s,0.928129,8.917555
1658418658392_blow_close_event4_peak4.943s,1782608605517_blow_normal_event1_peak1.450s,0.885067,12.098632
1658418658392_blow_close_event4_peak4.943s,1782608608865_blow_normal_event1_peak1.042s,0.898271,12.414450
1658418658392_blow_close_event4_peak4.943s,1782608611657_blow_normal_event1_peak1.081s,0.872187,14.571144
1658418658392_blow_close_event4_peak4.943s,1782608614338_blow_normal_event1_peak0.897s,0.818539,14.318274
1658418658392_blow_close_event4_peak4.943s,1782608616573_blow_normal_event1_peak1.126s,0.826340,11.617727
1658418658392_blow_close_event4_peak4.943s,1782608618931_blow_normal_event1_peak0.969s,0.873041,19.112248
1658418658392_blow_close_event4_peak4.943s,1782608645573_blow_normal_event1_peak1.074s,0.860391,12.219417
1658418658392_blow_close_event4_peak4.943s,1782608649116_blow_normal_event1_peak0.873s,0.802472,9.180322
1658418658392_blow_close_event4_peak4.943s,1782608657180_blow_normal_event1_peak1.144s,0.866771,10.912962
1658418658392_blow_close_event4_peak4.943s,1782608662652_blow_normal_event1_peak1.139s,0.862889,12.946729
1658418658392_blow_close_event4_peak4.943s,1782608664944_blow_normal_event1_peak0.935s,0.840873,9.196013
1658418658392_blow_close_event4_peak4.943s,1782608667017_blow_normal_event1_peak1.003s,0.888607,10.713872
1658418658392_blow_close_event4_peak4.943s,1782608668892_blow_normal_event1_peak1.012s,0.876181,8.139062
1658418658392_blow_close_event4_peak4.943s,1782608670794_blow_normal_event1_peak0.934s,0.832832,10.905449
1658418658392_blow_close_event4_peak4.943s,1782608672740_blow_normal_event1_peak0.992s,0.795664,7.307595
1658418658392_blow_close_event4_peak4.943s,1782608677735_blow_normal_event1_peak0.843s,0.860732,18.720808
1658418658392_blow_close_event4_peak4.943s,1782608679544_blow_normal_event1_peak0.746s,0.904179,9.911350
1658418658392_blow_close_event4_peak4.943s,1782605965032_blow_close_event1_peak0.117s,0.284630,15.686715
1658418658392_blow_close_event4_peak4.943s,1782605965032_blow_close_event2_peak1.201s,0.830936,9.068336
1658418658392_blow_close_event4_peak4.943s,1782605965032_blow_close_event3_peak2.431s,0.841916,9.859150
1658418658392_blow_close_event4_peak4.943s,1782606063167_failed_blow_event1_peak5.756s,0.892160,7.993894
1658418658392_blow_close_event4_peak4.943s,1658418647612_blow_normal_event1_peak0.402s,0.828620,9.411827
1658418658392_blow_close_event4_peak4.943s,1658418647612_blow_normal_event2_peak2.207s,0.834619,9.001609
1658418658392_blow_close_event4_peak4.943s,1658418647612_blow_normal_event3_peak3.536s,0.816747,11.076929
1658418658392_blow_close_event4_peak4.943s,1658418647612_blow_normal_event4_peak4.765s,0.912686,6.171577
1658418658392_blow_close_event4_peak4.943s,1658418647612_blow_normal_event5_peak7.402s,0.876937,10.268693
1658418658392_blow_close_event4_peak4.943s,1782608426130_failed_blow_event1_peak0.018s,0.871296,5.656041
1658418658392_blow_close_event4_peak4.943s,1782608426130_failed_blow_event2_peak1.056s,0.723002,14.451023
1658418658392_blow_close_event4_peak4.943s,1782608432269_failed_blow_event1_peak0.799s,0.501445,11.194621
1658418658392_blow_close_event4_peak4.943s,1782608432269_failed_blow_event2_peak1.919s,0.574738,12.041033
1658418658392_blow_close_event4_peak4.943s,1782608432269_failed_blow_event3_peak2.872s,0.214424,12.850167
1658418658392_blow_close_event4_peak4.943s,1782608436951_failed_blow_event1_peak1.043s,0.334775,13.197503
1658418658392_blow_close_event4_peak4.943s,1782608436951_failed_blow_event2_peak1.703s,0.087745,14.609597
1658418658392_blow_close_event4_peak4.943s,1782608436951_failed_blow_event3_peak2.458s,0.905953,13.646895
1658418658392_blow_close_event4_peak4.943s,1782608436951_failed_blow_event4_peak3.693s,0.595041,10.756202
1658418658392_blow_close_event4_peak4.943s,1782608441920_failed_blow_event1_peak10.579s,0.684465,28.933780
1658418658392_blow_close_event4_peak4.943s,1782608453936_failed_blow_event1_peak2.174s,0.249838,27.975133
1658418658392_blow_close_event4_peak4.943s,1782608453936_failed_blow_event2_peak4.632s,0.835409,6.919602
1658418658392_blow_close_event4_peak4.943s,1782608460487_failed_blow_event1_peak3.184s,0.416878,15.392582
1658418658392_blow_close_event4_peak4.943s,1782608460487_failed_blow_event2_peak5.372s,0.395306,12.511567
1658418658392_blow_close_event4_peak4.943s,1782608460487_failed_blow_event3_peak7.802s,0.693305,18.258871
1658418658392_blow_close_event4_peak4.943s,1782608469432_failed_blow_event1_peak1.335s,0.579081,10.718100
1658418658392_blow_close_event4_peak4.943s,1782608469432_failed_blow_event2_peak3.676s,0.287851,17.408171
1658418658392_blow_close_event4_peak4.943s,1782608469432_failed_blow_event3_peak6.212s,-0.636474,18.981852
1658418658392_blow_close_event4_peak4.943s,1782608469432_failed_blow_event4_peak8.373s,-0.173513,14.956769
1658418658392_blow_close_event4_peak4.943s,1782608469432_failed_blow_event5_peak9.854s,-0.524082,17.089471
1658418658392_blow_close_event4_peak4.943s,1782608469432_failed_blow_event6_peak11.059s,-0.240976,15.094266
1658418658392_blow_close_event4_peak4.943s,1782608144876_failed_blow_event1_peak1.226s,0.593943,10.027810
1658418658392_blow_close_event4_peak4.943s,1782608147589_failed_blow_event1_peak1.373s,0.224391,14.541686
1658418658392_blow_close_event4_peak4.943s,1782608150662_failed_blow_event1_peak1.433s,0.569920,15.502448
1658418658392_blow_close_event4_peak4.943s,1782608150662_failed_blow_event2_peak2.805s,0.720766,10.237876
1658418658392_blow_close_event4_peak4.943s,1782608150662_failed_blow_event3_peak4.547s,0.476420,12.622610
1658418658392_blow_close_event4_peak4.943s,1782608150662_failed_blow_event4_peak7.191s,-0.780955,23.600677
1658418658392_blow_close_event4_peak4.943s,1782608160173_failed_blow_event1_peak1.211s,-0.297062,17.138926
1658418658392_blow_close_event4_peak4.943s,1782608163117_failed_blow_event1_peak2.418s,-0.374727,17.828873
1658418658392_blow_close_event4_peak4.943s,1782608163117_failed_blow_event2_peak3.891s,-0.594831,17.238661
1658418658392_blow_close_event4_peak4.943s,1782608163117_failed_blow_event3_peak5.526s,0.151624,14.754478
1658418658392_blow_close_event4_peak4.943s,1782608178054_failed_blow_event1_peak4.359s,0.165124,16.456317
1658418658392_blow_close_event4_peak4.943s,1782608178054_failed_blow_event2_peak5.668s,-0.085728,16.372014
1658418658392_blow_close_event4_peak4.943s,1782608187004_failed_blow_event1_peak1.100s,0.129939,15.040176
1658418658392_blow_close_event4_peak4.943s,1782608187004_failed_blow_event2_peak1.558s,0.339016,12.516651
1658418658392_blow_close_event4_peak4.943s,1782608187004_failed_blow_event3_peak2.068s,0.041799,16.797624
1658418658392_blow_close_event4_peak4.943s,1782608187004_failed_blow_event4_peak2.942s,0.164652,15.054957
1658418658392_blow_close_event4_peak4.943s,1782608191941_failed_blow_event1_peak9.470s,0.834926,11.834801
1658418658392_blow_close_event4_peak4.943s,1782608203595_failed_blow_event1_peak0.995s,-0.684962,19.606698
1658418658392_blow_close_event4_peak4.943s,1782608212532_failed_blow_event1_peak0.879s,0.074820,15.832809
1658418658392_blow_close_event4_peak4.943s,1782608212532_failed_blow_event2_peak2.243s,0.040821,15.678890
1658418658392_blow_close_event4_peak4.943s,1782608212532_failed_blow_event3_peak3.127s,0.777743,16.545261
1658418658392_blow_close_event4_peak4.943s,1782608212532_failed_blow_event4_peak3.438s,0.343879,11.689094
1658418658392_blow_close_event4_peak4.943s,1782608212532_failed_blow_event5_peak4.624s,0.401389,11.283084
1658418658392_blow_close_event4_peak4.943s,1782608212532_failed_blow_event6_peak5.691s,0.495875,12.985962
1658418658392_blow_close_event4_peak4.943s,1782608212532_failed_blow_event7_peak7.187s,0.429682,11.963727
1658418658392_blow_close_event4_peak4.943s,1782608212532_failed_blow_event8_peak8.017s,0.667910,11.019029
1658418658392_blow_close_event4_peak4.943s,1782608683432_failed_blow_event1_peak0.850s,0.877458,14.215629
1658418658392_blow_close_event5_peak6.390s,1782608588636_blow_normal_event1_peak3.313s,0.875125,11.716598
1658418658392_blow_close_event5_peak6.390s,1782608588636_blow_normal_event2_peak4.431s,0.865841,10.841048
1658418658392_blow_close_event5_peak6.390s,1782608588636_blow_normal_event3_peak5.546s,0.897054,14.507786
1658418658392_blow_close_event5_peak6.390s,1782608596442_blow_normal_event1_peak1.342s,0.869909,13.499263
1658418658392_blow_close_event5_peak6.390s,1782608600090_blow_normal_event1_peak1.465s,0.849592,13.113986
1658418658392_blow_close_event5_peak6.390s,1782608602965_blow_normal_event1_peak1.012s,0.828194,10.548071
1658418658392_blow_close_event5_peak6.390s,1782608605517_blow_normal_event1_peak1.450s,0.862674,9.823450
1658418658392_blow_close_event5_peak6.390s,1782608608865_blow_normal_event1_peak1.042s,0.845891,11.892104
1658418658392_blow_close_event5_peak6.390s,1782608611657_blow_normal_event1_peak1.081s,0.860601,12.806149
