frequency_hz,1782605969288_blow_normal_event1_peak2.116s_dbfs,1782605969288_blow_normal_event2_peak3.548s_dbfs,1782605969288_blow_normal_event3_peak4.710s_dbfs,1782605956239_blow_close_event1_peak0.926s_dbfs,1782605956239_blow_close_event2_peak2.629s_dbfs,1782605956239_blow_close_event3_peak4.246s_dbfs,1782605976563_blow_normal_event1_peak0.764s_dbfs,1782605976563_blow_normal_event2_peak1.850s_dbfs,1782605976563_blow_normal_event3_peak3.146s_dbfs,1658418658392_blow_close_event1_peak0.904s_dbfs,1658418658392_blow_close_event2_peak2.202s_dbfs,1658418658392_blow_close_event3_peak3.530s_dbfs,1658418658392_blow_close_event4_peak4.943s_dbfs,1658418658392_blow_close_event5_peak6.390s_dbfs,1782608588636_blow_normal_event1_peak3.313s_dbfs,1782608588636_blow_normal_event2_peak4.431s_dbfs,1782608588636_blow_normal_event3_peak5.546s_dbfs,1782608596442_blow_normal_event1_peak1.342s_dbfs,1782608600090_blow_normal_event1_peak1.465s_dbfs,1782608602965_blow_normal_event1_peak1.012s_dbfs,1782608605517_blow_normal_event1_peak1.450s_dbfs,1782608608865_blow_normal_event1_peak1.042s_dbfs,1782608611657_blow_normal_event1_peak1.081s_dbfs,1782608614338_blow_normal_event1_peak0.897s_dbfs,1782608616573_blow_normal_event1_peak1.126s_dbfs,1782608618931_blow_normal_event1_peak0.969s_dbfs,1782608645573_blow_normal_event1_peak1.074s_dbfs,1782608649116_blow_normal_event1_peak0.873s_dbfs,1782608657180_blow_normal_event1_peak1.144s_dbfs,1782608662652_blow_normal_event1_peak1.139s_dbfs,1782608664944_blow_normal_event1_peak0.935s_dbfs,1782608667017_blow_normal_event1_peak1.003s_dbfs,1782608668892_blow_normal_event1_peak1.012s_dbfs,1782608670794_blow_normal_event1_peak0.934s_dbfs,1782608672740_blow_normal_event1_peak0.992s_dbfs,1782608677735_blow_normal_event1_peak0.843s_dbfs,1782608679544_blow_normal_event1_peak0.746s_dbfs,1782605969288_blow_normal_event1_peak2.116s_normalized_db,1782605969288_blow_normal_event2_peak3.548s_normalized_db,1782605969288_blow_normal_event3_peak4.710s_normalized_db,1782605956239_blow_close_event1_peak0.926s_normalized_db,1782605956239_blow_close_event2_peak2.629s_normalized_db,1782605956239_blow_close_event3_peak4.246s_normalized_db,1782605976563_blow_normal_event1_peak0.764s_normalized_db,1782605976563_blow_normal_event2_peak1.850s_normalized_db,1782605976563_blow_normal_event3_peak3.146s_normalized_db,1658418658392_blow_close_event1_peak0.904s_normalized_db,1658418658392_blow_close_event2_peak2.202s_normalized_db,1658418658392_blow_close_event3_peak3.530s_normalized_db,1658418658392_blow_close_event4_peak4.943s_normalized_db,1658418658392_blow_close_event5_peak6.390s_normalized_db,1782608588636_blow_normal_event1_peak3.313s_normalized_db,1782608588636_blow_normal_event2_peak4.431s_normalized_db,1782608588636_blow_normal_event3_peak5.546s_normalized_db,1782608596442_blow_normal_event1_peak1.342s_normalized_db,1782608600090_blow_normal_event1_peak1.465s_normalized_db,1782608602965_blow_normal_event1_peak1.012s_normalized_db,1782608605517_blow_normal_event1_peak1.450s_normalized_db,1782608608865_blow_normal_event1_peak1.042s_normalized_db,1782608611657_blow_normal_event1_peak1.081s_normalized_db,1782608614338_blow_normal_event1_peak0.897s_normalized_db,1782608616573_blow_normal_event1_peak1.126s_normalized_db,1782608618931_blow_normal_event1_peak0.969s_normalized_db,1782608645573_blow_normal_event1_peak1.074s_normalized_db,1782608649116_blow_normal_event1_peak0.873s_normalized_db,1782608657180_blow_normal_event1_peak1.144s_normalized_db,1782608662652_blow_normal_event1_peak1.139s_normalized_db,1782608664944_blow_normal_event1_peak0.935s_normalized_db,1782608667017_blow_normal_event1_peak1.003s_normalized_db,1782608668892_blow_normal_event1_peak1.012s_normalized_db,1782608670794_blow_normal_event1_peak0.934s_normalized_db,1782608672740_blow_normal_event1_peak0.992s_normalized_db,1782608677735_blow_normal_event1_peak0.843s_normalized_db,1782608679544_blow_normal_event1_peak0.746s_normalized_db
168.083939,-29.247506,-44.124257,-48.604962,-45.811035,-35.516447,-43.023716,-51.212662,-47.547296,-48.409209,-53.824402,-66.097650,-73.513856,-78.641268,-82.727103,-35.700850,-42.381288,-43.477552,-48.996800,-47.268701,-40.552621,-38.279067,-33.189518,-43.293685,-45.849702,-49.346080,-51.289234,-32.989592,-55.098832,-31.300210,-27.320581,-34.080807,-47.454884,-50.938224,-31.579298,-48.122096,-48.241926,-53.566792,-1.025443,-1.715423,0.000000,-11.167594,-2.881951,-7.033479,-3.900009,-3.840457,-11.023207,-3.308462,-9.979744,-10.766800,-15.113528,-28.523235,-3.643664,-5.401519,-13.465364,-19.230094,-10.573833,-6.580470,-1.582250,0.000000,-8.200032,-12.479482,-7.571655,-13.786861,-8.384250,-9.988093,-2.472818,0.000000,-1.695262,-7.486835,-3.483406,-2.683833,-3.091807,-3.531334,-9.825473
186.321818,-31.077434,-48.247425,-51.506462,-59.292063,-39.689499,-40.321764,-49.862279,-46.472548,-56.157432,-53.917883,-61.760808,-83.562566,-76.722497,-70.247899,-44.646124,-42.149784,-43.880385,-36.842537,-46.286757,-44.197034,-41.785923,-40.089399,-35.093652,-40.923154,-52.813413,-46.732760,-28.918576,-52.411989,-28.827392,-38.870844,-41.356874,-50.354712,-56.304549,-35.949446,-50.740663,-48.052885,-50.063786,-2.855371,-5.838591,-2.901499,-24.648623,-7.055003,-4.331527,-2.549627,-2.765708,-18.771431,-3.401944,-5.642901,-20.815510,-13.194757,-16.044030,-12.588937,-5.170015,-13.868197,-7.075830,-9.591889,-10.224883,-5.089106,-6.899881,0.000000,-7.552935,-11.038988,-9.230386,-4.313235,-7.301250,0.000000,-11.550263,-8.971329,-10.386662,-8.849732,-7.053982,-5.710374,-3.342293,-6.322468
206.538591,-28.802200,-50.351550,-51.656051,-46.524077,-37.267708,-41.588417,-53.916464,-44.804951,-44.615091,-60.406064,-74.044857,-74.166099,-77.178272,-74.683997,-45.357164,-41.487977,-45.321594,-35.964189,-43.326639,-39.673057,-46.005075,-43.561199,-35.974850,-47.192695,-54.836118,-47.129013,-27.194589,-57.340088,-43.505256,-47.408179,-39.315484,-39.968049,-54.766018,-41.482364,-48.136437,-50.476639,-51.058740,-0.580138,-7.942716,-3.051089,-11.880636,-4.633212,-5.598181,-6.603811,-1.098112,-7.229089,-9.890124,-17.926950,-11.419042,-13.650531,-20.480129,-13.299978,-4.508208,-15.309406,-6.197482,-6.631771,-5.700906,-9.308258,-10.371681,-0.881198,-13.822475,-13.061693,-9.626640,-2.589247,-12.229349,-14.677864,-20.087598,-6.929940,0.000000,-7.311201,-12.586899,-3.106148,-5.766047,-7.317422
228.948977,-28.631186,-50.676711,-57.840221,-53.303362,-41.669159,-38.256986,-52.769874,-45.826328,-37.386001,-65.973555,-69.241869,-83.093353,-77.798658,-79.848390,-44.997905,-45.002774,-55.959386,-39.666505,-45.747091,-38.283849,-61.999363,-36.026087,-46.197773,-43.779427,-65.225747,-49.919556,-28.226656,-47.867665,-40.631604,-46.849968,-35.765373,-45.500790,-66.458738,-55.963075,-57.585709,-49.296686,-63.782793,-0.409124,-8.267877,-9.235259,-18.659922,-9.034663,-2.266750,-5.457221,-2.119489,0.000000,-15.457616,-13.123962,-20.346296,-14.270918,-25.644522,-12.940718,-8.023005,-25.947198,-9.899798,-9.052223,-4.311698,-25.302546,-2.836568,-11.104121,-10.409207,-23.451322,-12.417182,-3.621315,-2.756926,-11.804212,-19.529387,-3.379828,-5.532741,-19.003920,-27.067610,-12.555420,-4.586094,-20.041474
253.790992,-28.222062,-49.385395,-64.227390,-43.455751,-42.765702,-37.529305,-55.626927,-48.150317,-41.493712,-67.324702,-77.599518,-87.703244,-75.808835,-77.916099,-55.589183,-46.586251,-64.029027,-45.413125,-46.719744,-54.218467,-44.259465,-56.872199,-36.177287,-44.446567,-62.220879,-62.085724,-29.325643,-51.618239,-39.750414,-38.576287,-34.753485,-60.082621,-56.590233,-37.622868,-58.058626,-52.503993,-61.737060,0.000000,-6.976561,-15.622428,-8.812310,-10.131206,-1.539068,-8.314274,-4.443477,-4.107711,-16.808763,-21.481611,-24.956187,-12.281095,-23.712231,-23.531997,-9.606482,-34.016838,-15.646418,-10.024877,-20.246316,-7.562648,-23.682680,-1.083635,-11.076347,-20.446454,-24.583350,-4.720302,-6.507500,-10.923022,-11.255706,-2.367941,-20.114572,-9.135415,-8.727404,-13.028337,-7.793400,-17.995741
281.328480,-44.604516,-53.120795,-68.930546,-60.000489,-46.120710,-37.642605,-57.643071,-46.964162,-45.347940,-66.765020,-72.142440,-77.322137,-79.172512,-76.239167,-45.404382,-46.129186,-50.970996,-54.169558,-47.737423,-44.082412,-51.036603,-42.750124,-43.239726,-47.949236,-60.563437,-60.973271,-37.538807,-53.229517,-35.813643,-37.691898,-33.415550,-51.599830,-62.854546,-39.345032,-65.236672,-55.320131,-73.196156,-16.382453,-10.711961,-20.325584,-25.357048,-13.486214,-1.652369,-10.330418,-3.257323,-7.961939,-16.249080,-16.024533,-14.575081,-15.644771,-22.035299,-13.347196,-9.149417,-20.958807,-24.402851,-11.042556,-10.110261,-14.339786,-9.560606,-8.146074,-14.579016,-18.789012,-23.470897,-12.933465,-8.118778,-6.986252,-10.371317,-1.030006,-11.631780,-15.399728,-10.449568,-20.206383,-10.609539,-29.454838
311.853912,-41.170921,-52.435907,-62.705839,-75.067559,-39.318821,-52.995591,-60.291120,-50.258219,-49.272508,-81.460340,-82.173987,-82.516640,-79.862304,-87.435710,-51.498829,-42.590081,-59.597046,-59.708585,-43.828728,-41.463298,-48.468962,-35.950254,-47.101570,-53.084014,-58.603166,-76.944011,-40.121788,-52.862858,-36.224723,-39.719764,-32.385544,-48.637833,-59.257535,-58.338024,-54.511462,-57.250884,-63.216534,-12.948859,-10.027073,-14.100877,-40.424118,-6.684325,-17.005355,-12.978467,-6.551379,-11.886506,-30.944400,-26.056080,-19.769583,-16.334563,-33.231842,-19.441643,-5.610312,-29.584857,-29.941878,-7.133860,-7.491147,-11.772145,-2.760736,-12.007918,-19.713794,-16.828740,-39.441637,-15.516446,-7.752119,-7.397331,-12.399183,0.000000,-8.669783,-11.802718,-29.442560,-9.481173,-12.540292,-19.475216
345.691494,-52.089253,-57.652566,-63.418406,-60.927531,-47.374350,-43.416981,-64.476346,-59.188313,-44.652021,-67.086000,-88.394091,-84.453274,-76.925013,-82.565323,-56.498260,-51.357099,-47.648648,-48.232893,-47.359009,-58.840717,-53.884389,-49.907741,-44.802729,-55.099415,-63.810812,-61.151526,-34.183014,-53.042037,-47.144455,-42.719350,-34.244412,-53.676060,-76.146765,-42.060021,-60.416210,-62.733603,-68.515177,-23.867190,-15.243732,-14.813444,-26.284090,-14.739854,-7.426744,-17.163694,-15.481474,-7.266020,-16.570061,-32.276184,-21.706218,-13.397272,-28.361455,-24.441074,-14.377330,-17.636459,-18.466186,-10.664142,-24.868566,-17.187572,-16.718223,-9.709077,-21.729195,-22.036387,-23.649152,-9.577672,-7.931298,-18.317063,-15.398769,-1.858867,-13.708011,-28.691947,-13.164557,-15.385921,-18.023011,-24.773859
383.200608,-35.179154,-63.968783,-67.718985,-56.284742,-47.539330,-59.226665,-66.131348,-62.682773,-53.994624,-72.818610,-87.589231,-81.277235,-75.561067,-84.075572,-52.654790,-47.983688,-58.687306,-48.304905,-56.177152,-52.336328,-66.013199,-40.755813,-42.899548,-59.970682,-81.941736,-59.097861,-44.078655,-62.796207,-41.659429,-41.244045,-34.723134,-51.420495,-88.360961,-48.630394,-63.156606,-70.532794,-58.973276,-6.957091,-21.559949,-19.114023,-21.641302,-14.904833,-23.236428,-18.818695,-18.975934,-16.608623,-22.302671,-31.471324,-18.530179,-12.033326,-29.871703,-20.597603,-11.003919,-28.675118,-18.538198,-19.482284,-18.364177,-29.316382,-7.566295,-7.805896,-26.600462,-40.167311,-21.595487,-19.473313,-17.685468,-12.832037,-13.923464,-2.337590,-11.452445,-40.906143,-19.734930,-18.126317,-25.822202,-15.231958
424.779634,-45.342904,-58.539650,-77.410883,-59.109614,-48.393055,-48.589076,-93.965204,-68.679470,-53.597716,-73.931347,-93.799015,-83.637234,-91.558249,-78.731401,-53.338232,-53.010774,-55.869164,-47.556612,-58.572469,-56.371124,-53.176890,-45.157174,-52.016729,-61.268299,-78.370699,-60.234917,-42.421093,-67.585060,-44.331473,-37.447665,-35.336169,-56.683808,-68.848608,-45.597308,-58.527547,-83.538134,-65.021000,-17.120842,-16.130816,-28.805920,-24.466173,-15.758559,-12.598839,-46.652552,-24.972631,-16.211715,-23.415407,-37.681109,-20.890178,-28.030508,-24.527533,-21.281046,-16.031005,-25.856976,-17.789905,-21.877601,-22.398973,-16.480073,-11.967655,-16.923076,-27.898080,-36.596274,-22.732543,-17.815751,-22.474321,-15.504082,-10.127084,-2.950624,-16.715758,-21.393790,-16.701844,-13.497258,-38.827542,-21.279682
