label,elapsedMillis,frameIndex,sampleRate,triggered,confidence,speechConfidence,noiseFloor,reason,rms,peak,zeroCrossingRate,spectralCentroid,spectralFlatness,frameEnergy,clipping,spectralTemplateScore
"speech",-12,0,16000,false,0.462769,0.925149,0.000604,"candidate: spectral mismatch",0.003069,0.006226,0.081250,432.434692,0.010191,0.003015,false,0.552485
"speech",7,1,16000,false,0.468700,0.963822,0.000604,"candidate: spectral mismatch",0.004360,0.010041,0.075000,431.826538,0.005784,0.006084,false,0.537484
"speech",28,2,16000,false,0.474967,0.987134,0.000604,"candidate: spectral mismatch",0.004653,0.009735,0.068750,435.433807,0.006017,0.006928,false,0.563140
"speech",50,3,16000,false,0.480985,0.970795,0.000604,"candidate: spectral mismatch",0.004571,0.009064,0.071875,380.647003,0.003341,0.006686,false,0.508598
"speech",68,4,16000,false,0.486734,0.987586,0.000604,"candidate: spectral mismatch",0.004444,0.009430,0.068750,464.605713,0.004478,0.006320,false,0.588926
"speech",88,5,16000,false,0.491657,0.979287,0.000604,"candidate: spectral mismatch",0.004125,0.009095,0.068750,498.506165,0.004518,0.005445,false,0.528939
"speech",107,6,16000,false,0.495988,0.937410,0.000604,"candidate: spectral mismatch",0.003433,0.008087,0.078125,400.298309,0.005637,0.003772,false,0.579558
"speech",127,7,16000,false,0.499921,0.856825,0.000604,"candidate: spectral mismatch",0.003520,0.008271,0.050000,359.658325,0.003640,0.003966,false,0.547185
"speech",155,8,16000,false,0.506293,0.939405,0.000604,"candidate: spectral mismatch",0.002990,0.006134,0.065625,322.554169,0.010638,0.002860,false,0.645219
"speech",169,9,16000,false,0.513782,0.939614,0.000604,"candidate: spectral mismatch",0.002545,0.006623,0.075000,343.597260,0.014587,0.002073,false,0.628441
"speech",187,10,16000,false,0.521396,0.964434,0.000604,"candidate: spectral mismatch",0.002280,0.006561,0.071875,374.334778,0.019399,0.001663,false,0.641689
"speech",207,11,16000,false,0.527189,0.877776,0.000604,"candidate: spectral mismatch",0.003666,0.009491,0.087500,503.917480,0.013481,0.004302,false,0.583506
"speech",226,12,16000,false,0.531163,0.677231,0.000604,"candidate: spectral mismatch",0.007358,0.018464,0.115625,641.751892,0.007156,0.017323,false,0.496999
"speech",247,13,16000,false,0.533156,0.513672,0.000604,"candidate: spectral mismatch",0.013238,0.044557,0.165625,438.590668,0.011798,0.056082,false,0.383500
"speech",268,14,16000,false,0.536635,0.296492,0.000604,"candidate: spectral mismatch",0.020440,0.071932,0.196875,1356.503540,0.011692,0.133695,false,0.359984
"speech",287,15,16000,false,0.433009,0.293084,0.000604,"candidate: too long",0.021686,0.080935,0.193750,1388.863647,0.023055,0.150489,false,0.354238
"speech",308,16,16000,false,0.483106,0.394106,0.000604,"candidate: collecting",0.020859,0.072817,0.212500,902.133057,0.051240,0.139238,false,0.325459
"speech",331,17,16000,false,0.442676,0.418661,0.000604,"candidate: collecting",0.015979,0.053407,0.206250,800.365417,0.052313,0.081700,false,0.190123
"speech",351,18,16000,false,0.459422,0.495872,0.000605,"candidate: collecting",0.007899,0.025391,0.206250,499.583038,0.040025,0.019967,false,0.238994
"speech",370,19,16000,false,0.476505,0.490409,0.000605,"candidate: collecting",0.005678,0.017396,0.178125,372.743774,0.035688,0.010317,false,0.349382
"speech",388,20,16000,false,0.488593,0.496110,0.000605,"candidate: collecting",0.006889,0.024171,0.203125,375.759644,0.019141,0.015187,false,0.295320
"speech",409,21,16000,false,0.495675,0.482646,0.000605,"candidate: collecting",0.009930,0.034883,0.196875,581.170898,0.017634,0.031553,false,0.223289
