label,elapsedMillis,frameIndex,sampleRate,triggered,confidence,speechConfidence,noiseFloor,reason,rms,peak,zeroCrossingRate,spectralCentroid,spectralFlatness,frameEnergy,clipping,spectralTemplateScore
"correct-blow",-8,0,16000,false,0.000737,0.000000,0.000600,"ambient",0.000062,0.000153,0.456250,546.153809,0.367065,0.000001,false,0.279682
"correct-blow",21,1,16000,false,0.000605,0.000000,0.000600,"ambient",0.000064,0.000153,0.496875,2406.083740,0.585739,0.000001,false,0.150588
"correct-blow",31,2,16000,false,0.000496,0.000000,0.000600,"ambient",0.000066,0.000214,0.537500,840.949036,0.522822,0.000001,false,0.150253
"correct-blow",51,3,16000,false,0.000407,0.000000,0.000600,"ambient",0.000066,0.000214,0.481250,2370.865723,0.646858,0.000001,false,0.131765
"correct-blow",71,4,16000,false,0.000333,0.000000,0.000600,"ambient",0.000064,0.000214,0.521875,1313.145386,0.732272,0.000001,false,0.131765
"correct-blow",90,5,16000,false,0.000273,0.000000,0.000600,"ambient",0.000072,0.000214,0.565625,1227.836304,0.659159,0.000002,false,0.131765
"correct-blow",110,6,16000,false,0.000224,0.000000,0.000600,"ambient",0.000074,0.000183,0.584375,2756.006104,0.670383,0.000002,false,0.150588
"correct-blow",131,7,16000,false,0.180157,0.273017,0.000600,"candidate: collecting",0.002016,0.013642,0.681250,7056.634766,0.089945,0.001300,false,0.184645
"correct-blow",155,8,16000,false,0.180117,0.278782,0.000600,"candidate: collecting",0.000746,0.002930,0.843750,6650.740723,0.070725,0.000178,false,0.199111
"correct-blow",176,9,16000,false,0.180089,0.000000,0.000600,"candidate: collecting",0.000162,0.000671,0.656250,3001.858154,0.394655,0.000008,false,0.182623
"correct-blow",190,10,16000,false,0.180068,0.000000,0.000600,"candidate: collecting",0.000087,0.000305,0.525000,1619.333984,0.741635,0.000002,false,0.131765
"correct-blow",209,11,16000,false,0.180053,0.000000,0.000600,"candidate: collecting",0.000076,0.000244,0.587500,1148.083252,0.703492,0.000002,false,0.131765
"correct-blow",230,12,16000,false,0.180043,0.000000,0.000600,"candidate: collecting",0.000075,0.000244,0.562500,2116.450684,0.681181,0.000002,false,0.150588
"correct-blow",250,13,16000,false,0.166446,0.000000,0.000600,"candidate: too short",0.000082,0.000214,0.556250,2459.510254,0.771523,0.000002,false,0.131765
"correct-blow",270,14,16000,false,0.136486,0.000000,0.000600,"ambient",0.000075,0.000214,0.509375,2455.967285,0.458525,0.000002,false,0.247049
"correct-blow",290,15,16000,false,0.111919,0.000000,0.000600,"ambient",0.000073,0.000183,0.556250,1235.334717,0.650673,0.000002,false,0.112941
"correct-blow",310,16,16000,false,0.091773,0.000000,0.000600,"ambient",0.000073,0.000244,0.534375,1794.636108,0.728617,0.000002,false,0.131765
"correct-blow",331,17,16000,false,0.244241,0.298184,0.000600,"candidate: collecting",0.007605,0.049348,0.728125,7008.653320,0.006053,0.018508,false,0.126308
"correct-blow",354,18,16000,false,0.234314,0.297988,0.000600,"candidate: collecting",0.004356,0.026032,0.837500,6288.850098,0.006707,0.006073,false,0.131765
"correct-blow",391,19,16000,false,0.278325,0.254194,0.000600,"candidate: collecting",0.001135,0.004822,0.768750,4877.914063,0.152688,0.000412,false,0.177997
"correct-blow",402,20,16000,false,0.310012,0.000000,0.000600,"candidate: collecting",0.000219,0.001251,0.612500,2180.211914,0.638119,0.000015,false,0.112941
"correct-blow",410,21,16000,false,0.332827,0.000000,0.000600,"candidate: collecting",0.000192,0.000488,0.496875,1631.083618,0.252941,0.000012,false,0.204445
"correct-blow",430,22,16000,false,0.349254,0.000000,0.000600,"candidate: collecting",0.000147,0.000397,0.390625,2305.522217,0.134256,0.000007,false,0.126875
"correct-blow",450,23,16000,false,0.361081,0.000000,0.000600,"candidate: collecting",0.000112,0.000305,0.500000,2904.785889,0.441055,0.000004,false,0.162640
"correct-blow",470,24,16000,false,0.369597,0.000000,0.000600,"candidate: collecting",0.000084,0.000244,0.481250,2850.688965,0.533135,0.000002,false,0.228716
"correct-blow",490,25,16000,false,0.375728,0.000000,0.000600,"candidate: collecting",0.000071,0.000214,0.543750,2768.644531,0.593840,0.000002,false,0.112941
"correct-blow",510,26,16000,false,0.322934,0.000000,0.000600,"candidate: too short",0.000073,0.000183,0.571875,1239.455933,0.624051,0.000002,false,0.131765
"correct-blow",532,27,16000,false,0.264806,0.000000,0.000600,"ambient",0.000069,0.000183,0.553125,1931.747314,0.343168,0.000002,false,0.056471
"correct-blow",551,28,16000,false,0.217141,0.000000,0.000600,"ambient",0.000071,0.000214,0.528125,1147.717407,0.762991,0.000002,false,0.112941
"correct-blow",577,29,16000,false,0.178056,0.000000,0.000600,"ambient",0.000082,0.000214,0.578125,2207.928711,0.606261,0.000002,false,0.112941
"correct-blow",595,30,16000,false,0.146006,0.000000,0.000600,"ambient",0.000065,0.000183,0.484375,1076.611328,0.554895,0.000001,false,0.157323
"correct-blow",612,31,16000,false,0.119725,0.000000,0.000600,"ambient",0.000069,0.000183,0.528125,1050.030029,0.508478,0.000002,false,0.094118
"correct-blow",632,32,16000,false,0.098174,0.000000,0.000600,"ambient",0.000081,0.000336,0.571875,1656.145386,0.685869,0.000002,false,0.131765
"correct-blow",652,33,16000,false,0.080503,0.000000,0.000600,"ambient",0.000080,0.000214,0.609375,1324.650391,0.588938,0.000002,false,0.173751
"correct-blow",677,34,16000,false,0.066012,0.000000,0.000600,"ambient",0.000072,0.000244,0.553125,1770.944458,0.509431,0.000002,false,0.131765
"correct-blow",693,35,16000,false,0.054130,0.000000,0.000600,"ambient",0.000077,0.000214,0.568750,1307.765381,0.539929,0.000002,false,0.182207
"correct-blow",712,36,16000,false,0.044387,0.000000,0.000600,"ambient",0.000070,0.000214,0.528125,1447.748169,0.521639,0.000002,false,0.144458
"correct-blow",732,37,16000,false,0.036397,0.000000,0.000600,"ambient",0.000074,0.000214,0.590625,1563.427124,0.713790,0.000002,false,0.112941
"correct-blow",752,38,16000,false,0.029846,0.000000,0.000600,"ambient",0.000076,0.000183,0.531250,2043.463257,0.675093,0.000002,false,0.131765
