label,elapsedMillis,frameIndex,sampleRate,triggered,confidence,speechConfidence,noiseFloor,reason,rms,peak,zeroCrossingRate,spectralCentroid,spectralFlatness,frameEnergy,clipping,spectralTemplateScore
"background-quiet",-17,0,16000,false,0.202876,0.000000,0.000845,"refractory",0.000912,0.002564,0.325000,211.475616,0.165836,0.000266,false,0.463432
"background-quiet",3,1,16000,false,0.162301,0.000000,0.000848,"refractory",0.000889,0.002991,0.296875,456.219513,0.257498,0.000253,false,0.254848
"background-quiet",28,2,16000,false,0.129841,0.000000,0.000855,"refractory",0.000960,0.002686,0.200000,186.333694,0.140072,0.000295,false,0.438420
"background-quiet",48,3,16000,false,0.103872,0.000000,0.000854,"refractory",0.000846,0.002716,0.340625,316.835876,0.238084,0.000229,false,0.290908
"background-quiet",68,4,16000,false,0.085175,0.000000,0.000862,"ambient",0.000981,0.002899,0.243750,355.455139,0.217115,0.000308,false,0.305497
"background-quiet",88,5,16000,false,0.069844,0.000000,0.000868,"ambient",0.000962,0.002838,0.281250,262.683441,0.136962,0.000296,false,0.493011
"background-quiet",107,6,16000,false,0.057272,0.000000,0.000868,"ambient",0.000877,0.002808,0.331250,272.780518,0.308822,0.000246,false,0.306463
"background-quiet",128,7,16000,false,0.046963,0.000000,0.000873,"ambient",0.000945,0.003143,0.287500,290.862152,0.150752,0.000286,false,0.472682
"background-quiet",148,8,16000,false,0.038510,0.000000,0.000877,"ambient",0.000934,0.002716,0.312500,232.718979,0.083106,0.000279,false,0.504053
"background-quiet",167,9,16000,false,0.031578,0.000000,0.000878,"ambient",0.000903,0.002808,0.228125,272.802032,0.207282,0.000261,false,0.378476
"background-quiet",187,10,16000,false,0.025894,0.000000,0.000872,"ambient",0.000772,0.002167,0.271875,249.520508,0.258946,0.000191,false,0.316263
"background-quiet",207,11,16000,false,0.021233,0.000000,0.000863,"ambient",0.000727,0.002380,0.225000,249.290161,0.154656,0.000169,false,0.434946
"background-quiet",226,12,16000,false,0.017411,0.000000,0.000859,"ambient",0.000789,0.001953,0.271875,623.497681,0.235642,0.000199,false,0.198810
"background-quiet",248,13,16000,false,0.014277,0.000000,0.000857,"ambient",0.000829,0.002838,0.315625,431.089294,0.129342,0.000220,false,0.430081
"background-quiet",268,14,16000,false,0.011707,0.000000,0.000855,"ambient",0.000826,0.002441,0.328125,618.002258,0.312396,0.000218,false,0.337411
"background-quiet",288,15,16000,false,0.009600,0.000000,0.000852,"ambient",0.000802,0.002075,0.253125,340.353271,0.243379,0.000206,false,0.415818
"background-quiet",308,16,16000,false,0.007872,0.000000,0.000855,"ambient",0.000910,0.002991,0.293750,212.355560,0.166007,0.000265,false,0.374095
"background-quiet",327,17,16000,false,0.006455,0.000000,0.000851,"ambient",0.000780,0.002106,0.240625,287.258270,0.238287,0.000195,false,0.375999
"background-quiet",347,18,16000,false,0.005293,0.000000,0.000853,"ambient",0.000883,0.003845,0.275000,288.661407,0.190064,0.000250,false,0.477755
"background-quiet",375,19,16000,false,0.004340,0.000000,0.000854,"ambient",0.000869,0.002777,0.271875,239.101013,0.184703,0.000242,false,0.380003
"background-quiet",396,20,16000,false,0.003559,0.000000,0.000855,"ambient",0.000874,0.002899,0.290625,279.452606,0.261386,0.000244,false,0.312239
"background-quiet",415,21,16000,false,0.002918,0.000000,0.000852,"ambient",0.000805,0.002014,0.303125,355.271027,0.298377,0.000207,false,0.294669
"background-quiet",435,22,16000,false,0.002393,0.000000,0.000849,"ambient",0.000802,0.002503,0.278125,236.944214,0.197131,0.000206,false,0.324602
"background-quiet",454,23,16000,false,0.001962,0.000000,0.000853,"ambient",0.000922,0.002655,0.256250,219.199997,0.194462,0.000272,false,0.356940
"background-quiet",467,24,16000,false,0.001609,0.000000,0.000857,"ambient",0.000905,0.002686,0.231250,255.352234,0.125171,0.000262,false,0.493396
"background-quiet",490,25,16000,false,0.001319,0.000000,0.000857,"ambient",0.000870,0.003174,0.240625,271.858276,0.204142,0.000242,false,0.389388
"background-quiet",514,26,16000,false,0.001082,0.000000,0.000853,"ambient",0.000781,0.002258,0.243750,271.666199,0.265142,0.000195,false,0.300777
"background-quiet",535,27,16000,false,0.000887,0.450564,0.000867,"ambient",0.001096,0.002716,0.156250,235.998199,0.057080,0.000384,false,0.540016
"background-quiet",556,28,16000,false,0.000728,0.436745,0.000880,"ambient",0.001070,0.002899,0.206250,277.202698,0.136720,0.000367,false,0.494520
"background-quiet",574,29,16000,false,0.000597,0.000000,0.000874,"ambient",0.000792,0.002167,0.293750,335.098175,0.220958,0.000201,false,0.353786
"background-quiet",594,30,16000,false,0.000489,0.000000,0.000866,"ambient",0.000733,0.002655,0.387500,472.982910,0.377372,0.000172,false,0.224387
"background-quiet",614,31,16000,false,0.000401,0.000000,0.000863,"ambient",0.000823,0.002258,0.296875,267.567383,0.145230,0.000216,false,0.380255
"background-quiet",634,32,16000,false,0.000329,0.000000,0.000851,"ambient",0.000662,0.001862,0.262500,293.256683,0.237870,0.000140,false,0.290949
"background-quiet",655,33,16000,false,0.000270,0.000000,0.000844,"ambient",0.000730,0.002655,0.234375,328.757141,0.279407,0.000171,false,0.286232
"background-quiet",675,34,16000,false,0.000221,0.000000,0.000837,"ambient",0.000735,0.002411,0.340625,718.854736,0.466835,0.000173,false,0.214932
"background-quiet",694,35,16000,false,0.000181,0.000000,0.000841,"ambient",0.000892,0.002686,0.365625,445.572205,0.250475,0.000255,false,0.342131
