label,elapsedMillis,frameIndex,sampleRate,triggered,confidence,speechConfidence,noiseFloor,reason,rms,peak,zeroCrossingRate,spectralCentroid,spectralFlatness,frameEnergy,clipping,spectralTemplateScore
"correct-blow",-15,0,16000,false,0.000345,0.422630,0.000747,"ambient",0.000927,0.002350,0.187500,178.065674,0.102990,0.000275,false,0.501271
"correct-blow",6,1,16000,false,0.000283,0.000000,0.000752,"ambient",0.000816,0.002441,0.228125,313.566132,0.226857,0.000213,false,0.364858
"correct-blow",26,2,16000,false,0.000232,0.471898,0.000762,"ambient",0.000917,0.002747,0.237500,412.123383,0.129477,0.000269,false,0.464374
"correct-blow",46,3,16000,false,0.000190,0.000000,0.000756,"ambient",0.000670,0.002075,0.290625,894.882751,0.278238,0.000144,false,0.276083
"correct-blow",66,4,16000,false,0.000156,0.000000,0.000756,"ambient",0.000763,0.002350,0.203125,450.357025,0.154836,0.000186,false,0.331914
"correct-blow",86,5,16000,false,0.000128,0.000000,0.000751,"ambient",0.000668,0.002136,0.259375,444.158722,0.322858,0.000143,false,0.292630
"correct-blow",102,6,16000,false,0.000105,0.000000,0.000745,"ambient",0.000649,0.001770,0.250000,265.604126,0.253169,0.000135,false,0.302494
"correct-blow",126,7,16000,false,0.000086,0.000000,0.000740,"ambient",0.000658,0.001984,0.228125,458.644562,0.248461,0.000139,false,0.128371
"correct-blow",146,8,16000,false,0.000071,0.000000,0.000739,"ambient",0.000727,0.002533,0.321875,404.099152,0.317809,0.000169,false,0.307254
"correct-blow",166,9,16000,false,0.000058,0.000000,0.000733,"ambient",0.000636,0.001953,0.296875,326.922607,0.217087,0.000129,false,0.319796
"correct-blow",187,10,16000,false,0.000047,0.000000,0.000730,"ambient",0.000682,0.001984,0.303125,349.923401,0.286545,0.000149,false,0.307749
"correct-blow",205,11,16000,false,0.000039,0.000000,0.000733,"ambient",0.000784,0.002564,0.203125,596.617737,0.348757,0.000197,false,0.251700
"correct-blow",227,12,16000,false,0.000032,0.000000,0.000729,"ambient",0.000671,0.002167,0.315625,498.424225,0.458078,0.000144,false,0.303254
"correct-blow",247,13,16000,false,0.000026,0.000000,0.000729,"ambient",0.000731,0.002228,0.268750,534.314087,0.323421,0.000171,false,0.267472
"correct-blow",266,14,16000,false,0.000021,0.455351,0.000741,"ambient",0.000920,0.002655,0.150000,385.085480,0.162602,0.000271,false,0.277708
"correct-blow",286,15,16000,false,0.000018,0.000000,0.000737,"ambient",0.000673,0.002136,0.265625,405.620789,0.346722,0.000145,false,0.227285
"correct-blow",307,16,16000,false,0.180012,0.416542,0.000737,"candidate: collecting",0.003596,0.012268,0.203125,553.991211,0.260125,0.004138,false,0.307828
"correct-blow",328,17,16000,false,0.194900,0.415015,0.000737,"candidate: collecting",0.001956,0.007996,0.215625,358.498444,0.275392,0.001224,false,0.304857
"correct-blow",349,18,16000,false,0.261601,0.418467,0.000737,"candidate: collecting",0.000958,0.002747,0.209375,219.699371,0.150792,0.000294,false,0.518546
"correct-blow",373,19,16000,false,0.309627,0.000000,0.000737,"candidate: collecting",0.000767,0.001984,0.243750,430.924408,0.298718,0.000188,false,0.296912
"correct-blow",391,20,16000,false,0.344205,0.000000,0.000737,"candidate: collecting",0.000831,0.002564,0.212500,600.685486,0.453191,0.000221,false,0.259692
"correct-blow",410,21,16000,false,0.369101,0.000000,0.000737,"candidate: collecting",0.000577,0.002167,0.209375,501.703583,0.371965,0.000107,false,0.234287
"correct-blow",437,22,16000,false,0.387026,0.000000,0.000737,"candidate: collecting",0.000590,0.002228,0.334375,736.663269,0.483986,0.000111,false,0.148509
"correct-blow",454,23,16000,false,0.325165,0.000000,0.000737,"candidate: too short",0.000609,0.001862,0.303125,561.033081,0.504019,0.000119,false,0.166837
"correct-blow",469,24,16000,false,0.266635,0.000000,0.000725,"ambient",0.000546,0.001709,0.256250,624.256226,0.312075,0.000095,false,0.295716
