label,elapsedMillis,frameIndex,sampleRate,triggered,confidence,speechConfidence,noiseFloor,reason,rms,peak,zeroCrossingRate,spectralCentroid,spectralFlatness,frameEnergy,clipping,spectralTemplateScore
"correct-blow",-3,0,16000,false,0.000533,0.000000,0.000600,"ambient",0.000363,0.001282,0.284375,385.481567,0.408809,0.000042,false,0.304420
"correct-blow",19,1,16000,false,0.000437,0.000000,0.000600,"ambient",0.000289,0.000946,0.343750,541.361938,0.399820,0.000027,false,0.221394
"correct-blow",39,2,16000,false,0.000358,0.000000,0.000600,"ambient",0.000342,0.001068,0.218750,244.586029,0.238172,0.000037,false,0.353651
"correct-blow",62,3,16000,false,0.000294,0.000000,0.000600,"ambient",0.000433,0.001251,0.221875,299.119965,0.140652,0.000060,false,0.387244
"correct-blow",79,4,16000,false,0.000241,0.000000,0.000600,"ambient",0.000360,0.001007,0.296875,369.341370,0.351351,0.000041,false,0.290201
"correct-blow",99,5,16000,false,0.000198,0.000000,0.000600,"ambient",0.000432,0.001129,0.228125,313.741730,0.151851,0.000060,false,0.428606
"correct-blow",119,6,16000,false,0.000162,0.000000,0.000600,"ambient",0.000391,0.001312,0.171875,187.285080,0.149418,0.000049,false,0.399299
"correct-blow",140,7,16000,false,0.000133,0.000000,0.000600,"ambient",0.000470,0.001892,0.334375,942.407471,0.434394,0.000071,false,0.163469
"correct-blow",158,8,16000,false,0.000109,0.000000,0.000600,"ambient",0.000542,0.001495,0.321875,614.650818,0.281087,0.000094,false,0.284229
"correct-blow",179,9,16000,false,0.000089,0.000000,0.000600,"ambient",0.000547,0.001495,0.293750,512.845337,0.333461,0.000096,false,0.236043
"correct-blow",199,10,16000,false,0.000073,0.000000,0.000600,"ambient",0.000483,0.001343,0.340625,1399.230347,0.433738,0.000075,false,0.160555
"correct-blow",219,11,16000,false,0.000060,0.000000,0.000600,"ambient",0.000380,0.001495,0.250000,622.186218,0.429141,0.000046,false,0.246315
"correct-blow",240,12,16000,false,0.000049,0.000000,0.000600,"ambient",0.000303,0.000855,0.309375,427.928070,0.321093,0.000029,false,0.252992
"correct-blow",259,13,16000,false,0.000040,0.000000,0.000600,"ambient",0.000357,0.000946,0.300000,154.337753,0.126504,0.000041,false,0.406984
"correct-blow",279,14,16000,false,0.000033,0.000000,0.000600,"ambient",0.000532,0.002686,0.281250,667.476074,0.257256,0.000091,false,0.238666
"correct-blow",299,15,16000,false,0.180023,0.478030,0.000600,"candidate: collecting",0.001885,0.007263,0.187500,508.432068,0.092289,0.001137,false,0.419745
"correct-blow",320,16,16000,false,0.199583,0.377968,0.000600,"candidate: collecting",0.001218,0.003723,0.246875,735.668579,0.240673,0.000475,false,0.250183
"correct-blow",342,17,16000,false,0.213666,0.000000,0.000600,"candidate: collecting",0.000693,0.002167,0.281250,391.728149,0.255961,0.000154,false,0.297726
"correct-blow",371,18,16000,false,0.223806,0.000000,0.000600,"candidate: collecting",0.000664,0.002075,0.256250,719.540161,0.444876,0.000141,false,0.221400
"correct-blow",383,19,16000,false,0.231107,0.320509,0.000600,"candidate: collecting",0.000754,0.002625,0.265625,1042.118774,0.182504,0.000182,false,0.382998
"correct-blow",404,20,16000,false,0.236363,0.000000,0.000600,"candidate: collecting",0.000605,0.001679,0.303125,633.619934,0.374400,0.000117,false,0.231296
"correct-blow",428,21,16000,false,0.209429,0.000000,0.000600,"candidate: too short",0.000625,0.001709,0.271875,637.342529,0.205756,0.000125,false,0.355938
"correct-blow",444,22,16000,false,0.171732,0.453325,0.000609,"ambient",0.000740,0.002350,0.228125,415.285278,0.193964,0.000175,false,0.324704
"correct-blow",463,23,16000,false,0.140820,0.000000,0.000614,"ambient",0.000694,0.002045,0.246875,554.224426,0.341863,0.000154,false,0.214844
"correct-blow",484,24,16000,false,0.115472,0.000000,0.000613,"ambient",0.000603,0.001923,0.309375,565.783264,0.365057,0.000116,false,0.153422
"correct-blow",507,25,16000,false,0.094687,0.000000,0.000619,"ambient",0.000706,0.002136,0.253125,267.140411,0.188587,0.000159,false,0.373915
"correct-blow",527,26,16000,false,0.077644,0.000000,0.000617,"ambient",0.000592,0.001801,0.312500,355.211731,0.262751,0.000112,false,0.269780
"correct-blow",545,27,16000,false,0.063668,0.000000,0.000618,"ambient",0.000633,0.001953,0.303125,403.460144,0.219575,0.000128,false,0.356253
